Route,Link,Direction,TCS1,TCS2,WKT
1,1,1,6006,2031,LINESTRING(321909 228333 comma 321106 228863)
1,1,2,2031,6006,LINESTRING(321106 228863 comma 321909 228333)
1,2,1,2031,6003,LINESTRING(321106 228863 comma 320545 229272)
1,2,2,6003,2031,LINESTRING(320545 229272 comma 321106 228863)
1,3,1,6003,6008,LINESTRING(320545 229272 comma 320380 227100)
1,3,2,6008,6003,LINESTRING(320380 227100 comma 320545 229272)
1,4,1,6008,1125,LINESTRING(320380 227100 comma 319684 229203)
1,4,2,1125,6008,LINESTRING(319684 229203 comma 320380 227100)
1,5,1,1125,1127,LINESTRING(319684 229203 comma 319741 229041)
1,5,2,1127,1125,LINESTRING(319741 229041 comma 319684 229203)
1,6,1,1127,2127,LINESTRING(319741 229041 comma 319472 229655)
1,6,2,2127,1127,LINESTRING(319472 229655 comma 319741 229041)
1,7,1,2127,175,LINESTRING(319472 229655 comma 318488 230748)
1,7,2,175,2127,LINESTRING(318488 230748 comma 319472 229655)
1,8,1,175,174,LINESTRING(318488 230748 comma 317874 231329)
1,8,2,174,175,LINESTRING(317874 231329 comma 318488 230748)
1,9,1,174,615,LINESTRING(317874 231329 comma 317825 231373)
1,9,2,615,174,LINESTRING(317825 231373 comma 317874 231329)
1,10,1,615,118,LINESTRING(317825 231373 comma 317263 231944)
1,10,2,118,615,LINESTRING(317263 231944 comma 317825 231373)
1,11,1,118,610,LINESTRING(317263 231944 comma 316995 232257)
1,11,2,610,118,LINESTRING(316995 232257 comma 317263 231944)
1,12,1,610,103,LINESTRING(316995 232257 comma 316832 232352)
1,12,2,103,610,LINESTRING(316832 232352 comma 316995 232257)
1,13,1,103,613,LINESTRING(316832 232352 comma 316491 232576)
1,13,2,613,103,LINESTRING(316491 232576 comma 316832 232352)
1,14,1,613,104,LINESTRING(316491 232576 comma 316425 232724)
1,14,2,104,613,LINESTRING(316425 232724 comma 316491 232576)
1,15,1,104,758,LINESTRING(316425 232724 comma 316441 232749)
1,15,2,758,104,LINESTRING(316441 232749 comma 316425 232724)
1,16,1,758,163,LINESTRING(316441 232749 comma 316129 233181)
1,16,2,163,758,LINESTRING(316129 233181 comma 316441 232749)
3,1,1,269,39,LINESTRING(316418 233085 comma 316536 233743)
3,1,2,39,269,LINESTRING(316536 233743 comma 316418 233085)
3,2,1,39,116,LINESTRING(316536 233743 comma 316829 233574)
3,2,2,116,39,LINESTRING(316829 233574 comma 316536 233743)
3,3,1,116,133,LINESTRING(316829 233574 comma 317412 233193)
3,3,2,133,116,LINESTRING(317412 233193 comma 316829 233574)
4,1,1,515,597,LINESTRING(311296 236938 comma 311577 236796)
4,1,2,597,515,LINESTRING(311577 236796 comma 311296 236938)
4,2,1,597,470,LINESTRING(311577 236796 comma 312009 236592)
4,2,2,470,597,LINESTRING(312009 236592 comma 311577 236796)
4,3,1,470,125,LINESTRING(312009 236592 comma 312666 236290)
4,3,2,125,470,LINESTRING(312666 236290 comma 312009 236592)
4,4,1,125,667,LINESTRING(312666 236290 comma 313159 236033)
4,4,2,667,125,LINESTRING(313159 236033 comma 312666 236290)
4,5,1,667,422,LINESTRING(313159 236033 comma 313338 235944)
4,5,2,422,667,LINESTRING(313338 235944 comma 313159 236033)
4,6,1,422,151,LINESTRING(313338 235944 comma 313993 235469)
