SiteID,X,Y,Location
1,316067,234568,ABBEY ST MARLBOROUGH ST
2,316780,235268,AMIENS STREET SEVILLE PLACE PORTLAND ROW
3,316534,234866,AMIENS STREET TALBOT STREET
4,317185,235961,ANNESLEY PL POPLAR ROW
5,313737,235301,AUGHRIM ST NORTH CIRCULAR RD
6,316909,232975,BAGGOT STREET BRIDGE
7,316650,233251,BAGGOT STREET FITZWILLIAM STREET
8,317070,232851,BAGGOT STREET WATERLOO ROAD
9,317019,235993,BALLYBOUGH ROAD CLONLIFFE ROAD
10,313600,239100,BALLYGALL RD WEST CLUNE ROAD
11,315507,239064,BALLYMUN RD GLASNEVIN AV COLLINS AV
12,315350,237900,BALLYMUN RD GRIFFITH AV
13,315485,238719,BALLYMUN RD ST PAPPINS RD
14,318583,233436,BATH STREET BEACH ROAD
15,317631,238690,BEAUMOUNT RD SHANTALLA RD
16,316250,234610,BERESFORD STREET ABBEY STREET LOWER
17,316233,234525,BERESFORD PLACE EDEN QUAY
18,315240,235863,BERKELEY ROAD NORTH CIRCULAR ROAD
19,314437,234378,BLACKHALL PLACE BENBURB STREET
20,314467,234675,BLACKHALL PL NORTH KING ST
21,315242,234800,BOLTON STREET CAPEL STREET
22,315324,233383,BRIDE ST KEVIN ST
23,314149,235900,CABRA RD ANNAMOE TERRACE
24,315626,232879,CHARLOTTE STREET CAMDEN ST NEW ROAD
25,315636,232757,CAMDEN ST (KELLYS CNR) HARCOURT ROAD HARRINGTON STREET
26,315385,234261,CAPEL STREET  NORTH QUAYS  BRIDGE
27,312332,238987,CAPPAGH RD CARDIFFSBRIDGE RD
29,315950,234971,CATHAL BRUGHA ST MARLBOROUGH ST
30,310188,234329,CHAPELIZOD RD BALLYFERMOT HILL
31,310414,234403,CHAPELIZOD RD MARTINS ROW
32,315287,236949,BOTANIC RD ST MOBHI RD FAIRFIELD RD
33,315954,232503,CHARLEMONT ST GRAND PARADE
34,315762,232770,CHARLEMONT STREET HARCOURT ROAD
35,315143,233913,NICHOLAS ST HIGH ST CHRISTCHURCH PLACE
36,314943,234690,CHURCH ST NORTH KING ST
37,314871,234183,CHURCH STREET  BRIDGE
38,314945,232709,CLANBRASSIL ST SOUTH CIRCULAR RD (LEONARDS CORNER)
39,316536,233743,CLARE ST MERRION SQ
40,316367,236116,CLONLIFFE ROAD JONES ROAD
41,319249,235932,CLONTARF RD CASTLE AV
42,312150,233820,CONCOLBERT MEMORIAL PARK
43,317228,238198,COLLINS AV GRACE PARK RD
44,315021,235175,CONSTITUTION HILL WESTERN WAY FLATS
45,312711,234436,CONYNGHAM ROAD
46,313416,232421,CRUMLIN RD DOLPHINS BARN BRIDGE
47,313442,232421,CRUMLIN RD SUNDRIVE RD
48,315440,234041,DAME STREET
49,315640,234050,DAME STREET GEORGES STREET
50,315752,234061,DAME STREET TRINITY STREET
51,315984,230179,DARTRY RD ORWELL PK
52,315861,230367,Dartry Road  Temple Road
53,313397,232817,DOLPHIN RD HERBERTON RD
54,313882,232814,SCR  DOLPHINS BARN
55,315847,235886,DORSET ST BELVEDERE RD
56,315346,235016,DORSET ST DOMINICK ST
57,315633,235529,DORSET ST ECCLES ST
58,315543,235366,BLESSINGTON ST DORSET ST
59,315742,235708,DORSET ST GARDINER ST
60,315435,235165,DORSET ST GRANBY ROW
61,315794,235793,DORSET ST NORTH CIRCULAR ROAD
62,311450,231700,DRIMNAGH RD WALKINSTWON RD
63,315995,236194,DRUMCONDRA ROAD CLONLIFFE ROAD
64,316472,237592,GRIFFITH ROAD SWORDS ROAD DRUMCONDRA ROAD
65,316344,237240,DRUMCONDRA RD HOME FARM RD
66,316186,236792,DRUMCONDRA RD RICHMOND RD
67,315906,236017,DRUMCONDRA ROAD WHITWORTH ROAD
69,323625,238774,DUBLIN RD KILBARRACK RD HOWTH
70,316038,232911,EARLSFORT TCE HATCH STREET
71,311888,233439,EMMET RD TYRCONNELL RD
72,317437,236152,FAIRVIEW FAIRVIEW STRAND EDGES CORNER
73,317980,236330,FAIRVIEW MALAHIDE ROAD HOWTH ROAD
74,313735,236507,FASSAUGH AV CARNLOUGH RD
75,316891,233756,FENIAN ST HOLLES ST
76,315942,235462,GARDINER ST MOUNTJOY SQUARE
77,317643,233318,GRAND CANAL ST HADDINGTON RD
78,321969,239430,GRANGE RD KILBARRACK RD
80,316948,237391,GRIFFITH AV GRACE PARK RD
81,314930,232419,HAROLD'S CROSS BDGE
82,314744,231333,HAROLD'S CROSS ROAD LEINSTER ROAD
83,314751,232000,HAROLD'S CROSS RD PARK
84,314723,231167,HAROLD'S CROSS ROAD RATHGAR AVE
85,315405,232734,HEYTESBURY ST S.C.R.
86,320216,237636,HOWTH RD BROOKWOOD AV
87,318293,236545,HOWTH RD COPELAND AVENUE
88,321501,238219,HOWTH RD STATION RD
90,322202,237531,JAMES LARKIN RD WATERMILL RD
91,313274,239124,JAMESTOWN RD MCKEE AV SEAMUS ENNIS RD
92,318392,233577,IRISHTOWN RD BATH RD
93,318443,233410,IRISHTOWN RD LONDONBRIDGE RD
94,315504,234418,ABBEY STREET JERVIS STREET
95,315462,234553,JERVIS ST MARY ST HENRY ST
96,312722,231874,KILDARE RD WINDMILL RD
97,313969,231238,KIMMAGE RD LOWER SUNDRIVE RD
98,313544,230623,RAVENSDALE PARK KCR KIMMAGE ROAD
99,313050,230500,KIMMAGE RD WEST LORCAN O'TOOLE PK
100,313050,230500,KIMMAGE RD WEST WHITEHALL RD
101,310381,232198,KYLEMORE RD OLD NAAS RD
102,316597,232104,LEESON PK CHELMSFORD RD
103,316832,232352,APPIAN WAY LEESON ST
104,316425,232724,LEESON ST BRIDGE
105,310600,231650,LONG MILE RD WALKINSTOWN AV
106,309748,234686,LUCAN ROAD KYLEMORE ROAD
107,318585,237611,MALAHIDE ROAD COLLINS AVENUE
108,318071,236774,MALAHIDE ROAD GRIFFITH AVE.
109,319163,238123,MALAHIDE RD KILMORE RD
110,320164,239435,MALAHIDE ROAD TONLEGEE ROAD
111,318941,231498,MERRION RD AILESBURY RD
112,317927,232405,MERRION ROAD ANGLESEA RD
113,319177,231301,MERRION ROAD NUTLEY LANE
114,318348,232148,MERRION ROAD SANDYMOUNT AVE
115,316364,233402,MERRION ST MERRION ROW
116,316829,233574,MERRION SQUARE HOLLES ST
117,316800,230350,MILLTOWN RD DUNDRUM RD
118,317263,231944,MOREHAMPTON RD HERBERT PK
119,315407,237120,MOBHI ROAD BOTANIC AVENUE
120,317241,233369,MOUNT ST BRIDGE WARRINGTON PL
121,316064,235556,MOUNTJOY SQUARE BELVEDERE PLACE
122,315315,235230,MOUNTJOY ST WESTERN WAY
123,315951,231758,MOUNTPLEASENT AV CHARLESTON RD
124,310474,231997,NAAS RD KYLEMORE RD
125,312666,236290,NAVAN RD NEPHIN RD
126,315128,233640,BULL ALLEY ST NICHOLAS STREET BRIDE ROAD
127,314842,235872,NORTH CIRCULAR ROAD CABRA ROAD
128,315942,235743,NORTH CIRCULAR ROAD BELVEDERE ROAD
129,316239,235647,NORTH CIRCULAR ROAD FITZGIBBON ST
130,313378,234887,NCR INFIRMARY RD
131,313112,239100,NORTH RD MELLOWES RD
132,317281,235971,NORTH STRAND RD EAST WALL RD
133,317412,233193,NORTHUMBERLAND RD HADDINGTON RD
134,317596,232750,NORTHUMBERLAND ROAD PEMBROKE ROAD
136,315401,229912,ORWELL RD ORWELL PK
137,316017,231457,PALMERSTON RD BELGRAVE RD
138,313600,234447,INFIRMARY ROAD  PARKGATE STREET
139,314359,232485,PARNELL ROAD CLOGHER ROAD
140,315668,235188,PARNELL SQUARE NORTH FREDERICK ST
141,316094,235182,PARNELL STREET SUMMERHILL
142,315114,233450,DEAN STREET
143,316942,233976,PEARSE ST ERNE ST
144,317203,233928,PEARSE ST MACKEN ST
145,316812,234013,PEARSE ST SANDWITH ST SANDWITH ST UPPER
146,316616,234077,PEARSE ST WESTLAND ROW LOMBARD ST
147,317831,232475,PEMBROKE ROAD SHELBOURNE ROAD
148,315022,236073,PHIBSBORO ROAD CONNAUGHT ST
149,315022,235883,PHIBSBORO ROAD NORTH CIRCULAR ROAD DOYLES CORNER
150,315071,236318,PHIBSBORO ROAD WHITWORTH ROAD
151,313993,235469,NCR  PRUSSIA ST
152,314568,234312,QUEEN STREET BRIDGE  QUEEN STREET
153,316379,231913,RANELAGH FIELDS TERRACE
155,315050,230460,ORWELL ROAD RATHGAR ROAD TERENURE ROAD
156,315310,231039,RATHGAR RD FRANKFORT AV
157,315667,232449,RATHMINES ROAD CANAL ROAD RATHMINES BRIDGE
158,315604,231643,RATHMINES ROAD CASTLEWOOD AVENUE
159,315793,230601,RATHMINES RD HIGHFIELD RD DARTRY RD
160,317841,233808,RINGSEND RD SOUTH LOTTS RD
161,320076,237587,HOWTH RD KILLESTER CHURCH
162,315466,237877,ST MOBHI RD GRIFFITH AV
163,316129,233181,ST STEPHENS GREEN  EARLSFORT TCE
164,315770,233320,SAINT STEPHENS GREEN  HARCOURT STREET
165,317204,231240,SANDFORD ROAD  MILLTOWN ROAD & PED
166,316154,235049,GARDINER STREET  SEAN MACDERMOTT STREET
